,Actor,Movies
0,Karen Allen,"['Starman', 'Malcolm X', ""National Lampoon's Animal House""]"
1,Taye Diggs,"['Rent', 'Basic', 'House on Haunted Hill', 'Equilibrium', 'Chicago', 'Go']"
2,Michael Murphy,"['Cloak & Dagger', 'Salvador', 'Nashville', 'Manhattan']"
3,Les Tremayne,['The War of the Worlds']
4,Bridgette Wilson,"['House on Haunted Hill', 'Mortal Kombat', 'Nixon']"
5,Nicole Ari Parker,"['Exiled: A Law & Order Movie', 'Blue Streak']"
6,Glenn Close,"['Hamlet', 'Air Force One', 'Jagged Edge', 'The Big Chill', 'The House of the Spirits', 'The Stepford Wives']"
7,Clarence Nash,"[""Der Fuehrer's Face"", ""Donald's Cousin Gus"", ""Mickey's Christmas Carol""]"
8,Julia Montgomery,"['Revenge of the Nerds IV: Nerds in Love', 'Revenge of the Nerds III: The Next Generation']"
9,Art Malik,"['Booty Call', ""A Kid in King Arthur's Court""]"
10,Juliette Greco,"[""Everyman's Feast"", 'Bonjour tristesse']"
11,Pruitt Taylor Vince,"['JFK', 'Identity', 'Heavy', ""Nobody's Fool"", 'Constantine']"
12,Annie Potts,"[""Who's Harry Crumb?"", ""She's Having a Baby""]"
13,May McAvoy,"['The Jazz Singer', 'Ben-Hur']"
14,Tom Powers,"['Double Indemnity', 'Destination Moon']"
15,Tom Felton,"['Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Half-Blood Prince']"
16,Geraldine Somerville,"['Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix']"
17,Frank Finlay,"['Othello', 'Lifeforce']"
18,Val Avery,['Faces']
19,Hugh Jackman,"['X-Men', 'Someone Like You', 'Kate & Leopold', 'Swordfish', 'X2']"
20,Tobey Maguire,"[""Don's Plum"", 'Seabiscuit', 'Spider-Man', 'The Wizard']"
21,Robert Taylor,"['Quo Vadis', 'Three Comrades']"
22,Raghuvaran,"['Run', 'Shiva', 'Anjali']"
23,Gregory Smith,"['Zenon: Girl of the 21st Century', 'The Patriot']"
24,Dudley Moore,"['10', 'Micki + Maude', 'Arthur', 'Bedazzled']"
25,Jack Palance,"['The Professionals', 'Batman', 'Contempt']"
26,John Neville,"['Spider', 'Little Women']"
27,Melina Mercouri,"['Stella', 'Topkapi']"
28,Joan Crawford,"['Queen Bee', 'Grand Hotel', 'Possessed', ""Dead Men Don't Wear Plaid""]"
29,"Freddie Prinze, Jr.","['Scooby-Doo 2: Monsters Unleashed', 'Scooby-Doo', 'Delgo', 'Wing Commander', ""She's All That""]"
30,Chris Elliott,"[""There's Something About Mary"", 'Medusa: Dare to Be Truthful', 'Cabin Boy', 'Groundhog Day']"
31,Leonard Marx,"['Room Service', 'Animal Crackers', 'Saps at Sea', 'A Night at the Opera', 'A Day at the Races', 'Monkey Business']"
32,Sherman Hemsley,"['Alice in Wonderland', 'Mr. Nanny']"
33,Robert Montgomery,"['Mr. & Mrs. Smith', 'The Big House']"
34,Leelee Sobieski,"['Max', 'Uprising', 'Deep Impact']"
35,Danny Huston,"['Spanish Fly', 'Silver City', 'Birth']"
36,Cecile de France,"[""L'Auberge espagnole"", 'Around the World in 80 Days']"
37,Dabney Coleman,"['Cloak & Dagger', 'Exiled: A Law & Order Movie', 'Domino', 'Midway', ""You've Got Mail""]"
38,Allen Garfield,"['The Cotton Club', 'Continental Divide']"
39,George O'Hanlon,"['Kronos', 'Jetsons: The Movie']"
40,Sophia Myles,"['Thunderbirds', 'Underworld']"
41,Dania Ramirez,"['25th Hour', 'Fat Albert']"
42,Neil Fanning,"['Scooby-Doo', 'Scooby-Doo 2: Monsters Unleashed']"
43,Jodi Benson,"['The Little Mermaid II: Return to the Sea', 'The Little Mermaid', ""Lady and the Tramp II: Scamp's Adventure""]"
44,Alexander Godunov,"['Witness', 'North']"
45,Fran Drescher,"['Ragtime', ""Santa's Slay"", 'Jack', 'UHF']"
46,Luise Rainer,"['The Good Earth', 'The Great Waltz']"
47,Danny Trejo,"['XXX', 'Heat', 'Desperado', 'Anchorman: The Legend of Ron Burgundy', 'Anaconda']"
48,Carel Struycken,"['Ewoks: The Battle for Endor', 'Men in Black']"
49,Peter Riegert,"['The Mask', ""How to Kill Your Neighbor's Dog"", ""National Lampoon's Animal House""]"
50,Kevin Bacon,"['JFK', 'Mystic River', 'Diner', 'Starting Over', 'Balto', 'Friday the 13th', 'My Dog Skip', 'Criminal Law', 'Apollo 13', 'Sleepers', ""National Lampoon's Animal House"", ""She's Having a Baby"", 'Tremors']"
51,John Hillerman,"['Paper Moon', 'Chinatown']"
52,Ann Sheridan,"['Dodge City', 'Edge of Darkness']"
53,Tony Leung Chiu Wai,"['Cyclo', '2046', 'Hero', 'Happy Together']"
54,Ralph Richardson,"['Battle of Britain', 'O Lucky Man!', 'Exodus', 'Richard III', 'Greystoke - The Legend of Tarzan, Lord of the Apes']"
55,Ray Walston,"['Popeye', 'Rad']"
56,George Wendt,"['Forever Young', 'Dreamscape']"
