Id,Movie
0,National Lampoon's Animal House
1,Malcolm X
2,Starman
3,Rent
4,Go
5,Chicago
6,House on Haunted Hill
7,Basic
8,Equilibrium
9,Salvador
10,Cloak & Dagger
11,Manhattan
12,Nashville
13,The War of the Worlds
14,Mortal Kombat
15,Nixon
16,Exiled: A Law & Order Movie
17,Blue Streak
18,Air Force One
19,Jagged Edge
20,Hamlet
21,The Big Chill
22,The House of the Spirits
23,The Stepford Wives
24,Donald's Cousin Gus
25,Mickey's Christmas Carol
26,Der Fuehrer's Face
27,Revenge of the Nerds III: The Next Generation
28,Revenge of the Nerds IV: Nerds in Love
29,A Kid in King Arthur's Court
30,Booty Call
31,Bonjour tristesse
32,Everyman's Feast
33,Constantine
34,JFK
35,Nobody's Fool
36,Identity
37,Heavy
38,Who's Harry Crumb?
39,She's Having a Baby
40,The Jazz Singer
41,Ben-Hur
42,Destination Moon
43,Double Indemnity
44,Harry Potter and the Order of the Phoenix
45,Harry Potter and the Chamber of Secrets
46,Harry Potter and the Half-Blood Prince
47,Harry Potter and the Prisoner of Azkaban
48,Harry Potter and the Philosopher's Stone
49,Harry Potter and the Goblet of Fire
50,Othello
51,Lifeforce
52,Faces
53,Kate & Leopold
54,Someone Like You
55,Swordfish
56,X2
57,X-Men
58,Don's Plum
59,Seabiscuit
60,The Wizard
61,Spider-Man
62,Three Comrades
63,Quo Vadis
64,Anjali
65,Run
66,Shiva
67,The Patriot
68,Zenon: Girl of the 21st Century
69,Micki + Maude
70,Bedazzled
71,10
72,Arthur
73,Contempt
74,Batman
75,The Professionals
76,Spider
77,Little Women
78,Topkapi
79,Stella
80,Queen Bee
81,Dead Men Don't Wear Plaid
82,Possessed
83,Grand Hotel
84,Delgo
85,Wing Commander
86,Scooby-Doo
87,Scooby-Doo 2: Monsters Unleashed
88,She's All That
89,Groundhog Day
90,Cabin Boy
91,Medusa: Dare to Be Truthful
92,There's Something About Mary
93,A Day at the Races
94,Animal Crackers
95,A Night at the Opera
96,Saps at Sea
97,Room Service
98,Monkey Business
99,Alice in Wonderland
100,Mr. Nanny
101,Mr. & Mrs. Smith
102,The Big House
103,Deep Impact
104,Max
105,Uprising
106,Birth
107,Spanish Fly
108,Silver City
109,L'Auberge espagnole
110,Around the World in 80 Days
111,Midway
112,Domino
113,You've Got Mail
114,The Cotton Club
115,Continental Divide
116,Kronos
117,Jetsons: The Movie
118,Thunderbirds
119,Underworld
120,Fat Albert
121,25th Hour
122,The Little Mermaid II: Return to the Sea
123,Lady and the Tramp II: Scamp's Adventure
124,The Little Mermaid
125,North
126,Witness
127,Santa's Slay
128,Ragtime
129,UHF
130,Jack
131,The Good Earth
132,The Great Waltz
133,Desperado
134,Anaconda
135,XXX
136,Anchorman: The Legend of Ron Burgundy
137,Heat
138,Men in Black
139,Ewoks: The Battle for Endor
140,How to Kill Your Neighbor's Dog
141,The Mask
142,Mystic River
143,Friday the 13th
144,Criminal Law
145,My Dog Skip
146,Starting Over
147,Balto
148,Apollo 13
149,Diner
150,Sleepers
151,Tremors
152,Chinatown
153,Paper Moon
154,Edge of Darkness
155,Dodge City
156,Cyclo
157,2046
158,Hero
159,Happy Together
160,Battle of Britain
161,Exodus
162,Richard III
163,"Greystoke - The Legend of Tarzan, Lord of the Apes"
164,O Lucky Man!
165,Rad
166,Popeye
167,Dreamscape
168,Forever Young
169,Mighty Morphin' Power Rangers: The Movie
170,Mr. Nice Guy
171,Little Nicky
172,Predator
173,Marnie
174,The Birds
175,Daylight
176,Exorcist II: The Heretic
177,Brainstorm
178,Audition
179,Brother
180,That Darn Cat!
181,Wolf
182,Rapunzel
183,Madagascar
184,Apt Pupil
185,The Doors
186,Twilight Zone: The Movie
187,Event Horizon
188,Airport '77
189,Carmen: A Hip Hopera
190,The Hitchhiker's Guide to the Galaxy
191,Monster's Ball
192,Sister Act 2: Back in the Habit
193,Rat Race
194,Red Dragon
195,8mm
196,Posse
197,Elf
198,Made
199,Friday
200,Notting Hill
201,Iris
202,Gettysburg
203,Splash
204,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
205,1900
206,Suddenly
207,The Star
208,Chaplin
209,The Lion King II: Simba's Pride
210,Twin Peaks: Fire Walk With Me
211,The Talented Mr. Ripley
212,Hulk
213,The Village
214,Miracle
215,Bring It On
216,Lean on Me
217,Jerky Boys: The Movie
218,Bram Stoker's Dracula
219,Cuckoo
220,Earthquake
221,Strategic Air Command
222,Tom and Jerry: The Movie
223,Magnolia
224,The 'Burbs
225,Gremlins 2: The New Batch
226,Mulholland Drive
227,Rabbits
228,Flirting
229,King Kong
230,Ned Kelly
231,Cheech & Chong's Next Movie
232,Oliver & Company
233,Born in East L.A.
234,After Hours
235,Cheech & Chong's Up in Smoke
236,Cars
237,Home Alone 2: Lost in New York
238,Father of the Bride
239,Willow
240,Scandal
241,Young Dr. Kildare
242,State Fair
243,John Carpenter's The Fog
244,Halloween III: Season of the Witch
245,Assault on Precinct 13
246,Halloween
247,Guinevere
248,Face/Off
249,The Insider
250,Cocktail
251,Prey for Rock & Roll
252,Bound
253,The Lord of the Rings: The Return of the King
254,Titanic
255,The Lord of the Rings: The Two Towers
256,But I'm a Cheerleader
257,Polyester
258,Cecil B. Demented
259,Cat's Eye
260,Casino
261,Lemony Snicket's A Series of Unfortunate Events
262,Down to Earth
263,Robots
264,"Legally Blonde 2: Red, White & Blonde"
265,The Broken Hearts Club: A Romantic Comedy
266,"To Wong Foo, Thanks for Everything! Julie Newmar"
267,Greed
268,Out Cold
269,Dazed and Confused
270,Eraser
271,Soul Food
272,Shaft
273,The Jacksons: An American Dream
